LEAD FA,CODE,ARTWORK BATCH,ARTWORKED,APPROVED,SENT TO PRODUCTION ,PRODUCED,COMMENT,PICTO 1,PICTO 2,PICTO 3,SIGN TEXT,GOLDOC PRODUCT ALLOCATED,MATERIAL,WIDTH (in m),HEIGHT(in m) ,FIXING, Comments,BEL ,BLB,CCV,CAP,CSL,STA,CSW,CSB,COL,CSC,CUR ,GAC,GCE,GHC,NER ,OXN,OXB,OXS,OXT,QSV,ROB ,SBP,TEN ,AYC,BND,GTC,GUS - P,GUS-T,CBS,MHB,OBD,PSO,RIS,RBS,SHC - 1 GY,SHC 2 -WR,TSS - B,TSS - R,TVS,UAC,IBC,MPC,BNE,CNS,OOL,TSV,RVC,RVT,CGV (TVT),CGV (TFT),CGV (TBS),CFH,CMH,CTO,GFH,TMH,TTO,MTM,VSP,GHQ,FDC,FDN,BDB,BDR,TOTAL
PRS,PRS-052,1,Steph 20/07,Aude 18/8,,,,,,,Media Lounge ,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4
PRS,PRS-053,1,Steph 20/07,Aude 18/8,,,,,,,Media Only ,PA-DR,Corflute,0.297,0.21,Wall mounted,,2,1,1,4,,,,,2,3,1,4,1,1,1,4,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,6,,,,,,,2,,,,,,,,,,,,,,,,39
PRS,PRS-054,1,Steph 20/07,Aude 18/8,,,,,,,Press ,PA-DR,Corflute,0.297,0.21,Wall mounted,,6,4,6,,,20,6,6,6,8,,20,6,6,,,6,6,6,12,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
PRS,PRS-055,1,Steph 02/08,Aude 18/8,,,,<NSM>,,,No Smoking ,PA-DR,Corflute,0.297,0.21,Wall mounted,,2,2,2,4,,,,,2,2,2,2,,2,2,4,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,6,,,,,,,2,,,,,,,,,,,,,,,,42
PRS,PRS-056,1,Steph 02/08,Aude 18/8,,,,<NENT>,,,No Entry ,PA-DR,Corflute,0.297,0.21,Wall mounted,,2,2,2,6,,,,,2,2,2,2,2,2,2,4,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,45
PRS,PRS-057,1,Steph 26/07,Aude 18/8,,,,<NENT>,,,No Exit ,PA-DR,Corflute,0.297,0.21,Wall mounted,,2,2,2,6,,,,,2,2,2,2,2,2,2,4,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,45
PRS,PRS-058,1,Steph 20/07,Aude 18/8,,,,,,,Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1Interview Room 1,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
PRS,PRS-059,1,Steph 20/07,Aude 18/8,,,,,,,Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2Interview Room 2,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
PRS,PRS-060,1,Stu 1/8,Aude 18/8,,,,,,,Photo Filing Centre ,FA-S,Corflute,0.9,0.30,Wall mounted,DR?,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
PRS,PRS-061,1,Steph 02/08,Aude 18/8,,,,<NFLM>,,,No Filming ,PA-DR,Corflute,0.297,0.21,Wall mounted,,3,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
PRS,PRS-062,2,Steph 18/09,MH 29/9,,,,<INFO>,,,Information,FA-S,Corflute,0.9,0.30,Wall mounted,,2,2,2,4,,,,,2,2,2,2,,2,2,4,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,39
PRS,PRS-063,1,Steph 02/08,Aude 18/8,,,,<QR>,,,Quiet Please - Media Conference in Progress,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,1,1,,,,,,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,11
PRS,PRS-064,1,Steph 26/07,Aude 18/8,,,,<NPHN>,,,Please switch off mobile phones,PA-DR,Corflute,0.297,0.21,Wall mounted,,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,19
PRS,PRS-065,1,Steph 25/17,Aude 18/8,,,,,,,MPC Guest Pass Distribution,PA-DK,Corflute,0.297,0.50,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-066,1,Steph 20/7,Aude 18/8,,,,,,,Meeting Room,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
PRS - N/A,PRS-067,N/A,N/A,N/A,,,,<MED>,,,Medical Centre,FA-S,Corflute,0.9,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-068,1,Steph 20/07,Aude 18/8,,,,,,,Green Room 1,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-094,2,Steph 28/08,MH 29/9,,,,,,,Green Room 2,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-095,2,Steph 28/08,MH 29/9,,,,,,,Green Room 3,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-069,CANCELLED,CANCELLED,CANCELLED,,,,,,,Transport Information Desk,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-092,2,Steph 13/09,MH 29/9,,,,,,,Transport Information Desk,PA-DK,Corflute,0.297,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2
PRS - CANCELLED,PRS-070,CANCELLED,CANCELLED,CANCELLED,,,,,,,Spectrum Compliance Testing,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-093,2,Steph 13/09,MH 29/9,,,,,,,Spectrum Compliance Testing,PA-DK,Corflute,0.297,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - N/A,PRS-071,1,Stu 1/8,Aude 18/8,,,,,,,Nikon,FA-S,Corflute,0.9,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
PRS - N/A,PRS-072,1,Stu 1/8,Aude 18/8,,,,,,,Canon,FA-S,Corflute,0.9,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-073,1,Stu 10/8,Aude 18/8,,,,<INFO>,,,Technology Help Desk,PA-DK,Corflute,0.297,0.50,Freestanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-074,3,Steph 14/11,MH 18/11,,,,,,,Getty Images,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-096,3,Steph 14/11,Add S,,,,,,,News Corp Australia,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-097,3,Steph 14/11,MH 18/11,,,,,,,AAP / NZN,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-098,3,Steph 14/11,MH 18/11,,,,,,,Fairfax Media,PA-DR,Corflute,0.297,0.21,,Name TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-099,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,5 Office may not sell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-100,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-101,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-102,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-103,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-104,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-105,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - CANCELLED,PRS-106,,,,,,,,,,(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office(Text TBC) Office,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS - N/A,PRS-075,N/A,N/A,N/A,,,,,,,Main Media Centre,FA-L,Corflute,1.8,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
PRS - N/A,PRS-076,N/A,N/A,N/A,,,,,,,Main Press Centre,FA-L,Corflute,1.8,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-077,2,Steph 18/09,MH 29/9,,,,,,,Mobile Charging Station,FA-S,Corflute,0.9,0.30,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
PRS,PRS-078,2,Steph 22/09,MH 29/9,,,,,,,A-01 to A-24,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,24
PRS,PRS-079,2,Steph 22/09,MH 29/9,,,,,,,B-01 to B-32,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,32
PRS,PRS-080,2,Steph 22/09,MH 29/9,,,,,,,C-01 to C-32,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,32
PRS,PRS-081,2,Steph 22/09,MH 29/9,,,,,,,D-01 to D-32,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,32
PRS,PRS-082,2,Steph 22/09,MH 29/9,,,,,,,E-01 to E-40,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40
PRS,PRS-083,2,Steph 22/09,MH 29/9,,,,,,,F-01 to F-40,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40
PRS,PRS-084,2,Steph 22/09,MH 29/9,,,,,,,G-01 to G-40,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40
PRS,PRS-085,2,Steph 22/09,MH 29/9,,,,,,,H-01 to H-40,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40
PRS,PRS-086,2,Steph 22/09,MH 29/9,,,,,,,J-01 to J-48,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,48
PRS,PRS-087,2,Steph 22/09,MH 29/9,,,,,,,K-01 to K-48,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,48
PRS,PRS-088,2,Steph 22/09,MH 29/9,,,,,,,L-01 to L-48,BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,48
PRS,PRS-089,2,Steph 22/09,MH 29/9,,,,,,,(Blank - purple),BSP.V-A7,Vinyl,0.105,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40
PRS - CANCELLED,PRS-090,CANCELLED,CANCELLED,CANCELLED,,,,,,,Authorised Access Only,PA-DR,Corflute,0.297,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PRS,PRS-107,3,Steph 06/11,MH 6/11,,,,,,,Reserved: ,BSP.V-A6,Vinyl,0.148,0.11,,,,,,30,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502
