ProductCode,Quantity,AverageCost,Location,Bin,BatchOrSerialNumber,ExpiryDate_YYYYMMDD,ReceivedDate_YYYYMMDD
PSOGST60A12-P1J,0,0.0001,AFI Branding,,,,20170913
PSOSDF-30,16,0.0001,AFI Branding,,,,20170913
PSOYP35+YC12,300,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-L-FL,18,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-L-HC,6,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-L-VC,4,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-XL-FL,18,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-XL-HC,9,0.0001,AFI Branding,,,,20170913
QUICKCLICK-FRAME-XL-VC,4,0.0001,AFI Branding,,,,20170913
RC040,65,0.0001,AFI Branding,,,,20170913
RC050,0,0.0001,AFI Branding,,,,20170913
RC051,117,0.0001,AFI Branding,,,,20170913
RC060,585,0.0001,AFI Branding,,,,20170913
RFRUBBER,6300,0.0001,AFI Branding,,,,20170913
SHS-20x1.6,292.5,0.0001,AFI Branding,,,,20170913
SIB,2,0.0001,AFI Branding,,,,20170913
SIC,2,0.0001,AFI Branding,,,,20170913
SIG,2,0.0001,AFI Branding,,,,20170913
SILC,1,0.0001,AFI Branding,,,,20170913
SILM,1,0.0001,AFI Branding,,,,20170913
SIM,3,0.0001,AFI Branding,,,,20170913
SIY,2,0.0001,AFI Branding,,,,20170913
SS101BL,1300,0.0001,AFI Branding,,,,20170913
SS101MN,1300,0.0001,AFI Branding,,,,20170913
SS101WH,1300,0.0001,AFI Branding,,,,20170913
SS102,468,0.0001,AFI Branding,,,,20170913
SS103,325,0.0001,AFI Branding,,,,20170913
SS106A,585,0.0001,AFI Branding,,,,20170913
SS108,221,0.0001,AFI Branding,,,,20170913
SS109,494.1,0.0001,AFI Branding,,,,20170913
SS109C,450,0.0001,AFI Branding,,,,20170913
STRETCHTEX,600,0.0001,AFI Branding,,,,20170913
TEXWALK,150,0.0001,AFI Branding,,,,20170913
TGKPHTEX,31,0.0001,AFI Branding,,,,20170913
TRILOBAL-PREMIUM,1700,0.0001,AFI Branding,,,,20170913
TTFBD,146.4,0.0001,AFI Branding,,,,20170913
TTFFC,195.2,0.0001,AFI Branding,,,,20170913
TTFO,231.8,0.0001,AFI Branding,,,,20170913
TTFS,231.8,0.0001,AFI Branding,,,,20170913
TTFSW,201.3,0.0001,AFI Branding,,,,20170913
TTFTW,134.2,0.0001,AFI Branding,,,,20170913
VOILE,1300,0.0001,AFI Branding,,,,20170913
WH0,146,0.0001,AFI Branding,,,,20170913
WH25,146,0.0001,AFI Branding,,,,20170913
